id,topic,text,label,source_type,year,sentiment_score,argument_strength,word_count,contains_statistics
694714,Automation impact on employment,AI widens economic inequality,con,social_media,2015,-0.61,0.16,4,1
786914,Automation impact on employment,AI widens economic inequality,con,social_media,2025,0.54,0.16,4,0
457191,Future of work with AI,Automation replaces human workers,con,news,2017,0.89,0.51,4,0
281277,AI will replace jobs,Low-skilled workers are at risk due to AI,con,research,2015,-0.43,0.92,8,1
446610,Future of work with AI,AI adoption is growing worldwide,neutral,social_media,2020,0.51,0.96,5,0
675959,Future of work with AI,Automation replaces human workers,con,news,2023,0.29,0.48,4,0
756069,AI will replace jobs,AI reduces human error in industries,pro,social_media,2023,0.58,0.46,6,1
380675,Future of work with AI,Technology always creates more jobs than it destroys,pro,social_media,2016,0.55,0.88,8,0
865170,Automation impact on employment,Low-skilled workers are at risk due to AI,con,news,2023,-0.3,0.3,8,0
898006,AI will replace jobs,Technology always creates more jobs than it destroys,pro,research,2015,-0.38,0.73,8,0
185427,Future of work with AI,AI adoption is growing worldwide,neutral,news,2023,-0.5,0.06,5,1
323644,Automation impact on employment,Both risks and benefits exist with AI,neutral,social_media,2016,-0.52,0.51,7,0
925425,AI will replace jobs,AI reduces human error in industries,pro,social_media,2016,-0.89,0.01,6,0
455592,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,news,2017,0.82,0.07,9,1
759016,Future of work with AI,AI will create new job opportunities,pro,research,2024,-0.92,0.83,6,1
812686,Future of work with AI,AI will lead to massive unemployment,con,blog,2024,0.67,0.69,6,0
943501,Future of work with AI,AI will lead to massive unemployment,con,research,2017,-0.23,0.39,6,1
290395,AI will replace jobs,The impact of AI on jobs is still uncertain,neutral,blog,2023,0.41,0.45,9,0
568918,AI will replace jobs,Automation replaces human workers,con,news,2017,-0.83,0.8,4,1
782818,Future of work with AI,AI reduces human error in industries,pro,research,2020,-0.78,0.68,6,1
182274,Automation impact on employment,Both risks and benefits exist with AI,neutral,research,2016,0.55,0.31,7,0
